full_text,sentiment
@Kacaback678910 @CakKhum @gibran_tweet @DivHumas_Polri Dasar bego.... dikasih satire malah ga paham. Memang baru keluar dari goa kau rupanya,negative
KEMANUSIAAN YG ADIL &amp; BERADAB. Presiden RI hrs bertanggung-jawab atas tindakan Aparat Pemerintah RI-POLRI-yg mengakibatkan korban jiwa 135 org rakyat Indonesia di Kanjuruhan Malang Jatim.Pemerintah RI hrs meminta maaf kpd Bangsa Indonesia &amp; mbr santunan kecelakaan kepada korban. https://t.co/PpPZjy5MnE,neutral
Polda Metro Imbau Polres-Polsek Sosialisasikan Anti Tawuran Dan Narkoba Jakarta - Bidang Humas Polda Metro Jaya mengimbau jajaran Humas Polres dan Polsek mensosialisasikan anti tawuran dan bahaya Narkoba. @kapoldametrojaya @adeary_milcop @divisihumaspolri @spripim.polri https://t.co/jHs6Ocg4EE,neutral
@susno2g @YouTube JUJUR SAYA BERHARAO POLRI DAN ABRI BUBAR SEBAGAI PENGGANTINYA PPNS DAN SISHANKAMRATA. SEKARANG FAKTANYA ABRI DAN POLRI AKTIF SUDAH TIDAK KARENA ORANG2NTA SUDAH PENSIUN DAN TIDAK ADA REGENERASI. SELAMAT TINGGAL PARA PENINDAS RAKYAT PADA JAMAN ORBA....,negative
Kegiatan patroli sambang kamtibmas rutin dilaksanakan untuk memberikan keamanan kenyamanan dan ketertiban masyarakat serta antisipasi Curat Curas Curanmor dan gangguan Kamtibmas lainnya. @DivHumas_Polri @PoldaJogja @polresjogja @kapoldaDIY,neutral
Dalam kesempatan tersebut personel Samapta dialogis dengan warga menyampaikan pesan-pesan Kamtibmas dan himbauan untuk tetap waspada menjaga keamanan lingkungannya. @Spripim_Polri @ListyoSigitP #patrolijogja #poldajogja #polresjogja #humaspolsekgk,neutral
Senkom Mitra Polri Surabaya Gelar Rapimkot Siap Amankan Pilkada 2024 https://t.co/fUyXom3Nc0,positive
@CNNIndonesia Pak @prabowo yang semodel ini bagus kalau ditumpas sejak awal TNI dan polri sudah lebih dari Cukup,neutral
@darkknight_id @CakKhum @gibran_tweet @DivHumas_Polri Gayalu sok2an mau ungkap identitas orang di counter balik sengsara hidupmu. Mau juga identitasmu di ungkap ke publik ?,negative
Kehebatan Wakapolri Agus Andrianto Masuk Kabinet Merah Putih Prabowo-Gibran Bakal Kena Mutasi Polri #Wakapolri #AgusAndrianto #KabinetMerahPutih #PrabowoGibran #MutasiPolri #Prabowo #Gibran #Mutasi #Polri https://t.co/QjO3N72EGE via @tribunnews,neutral
@darkknight_id @CakKhum @gibran_tweet @DivHumas_Polri Orang Tolol yg sok Pinter berkelit muterÂ². Hinaanmu sdh tercatat proses mas wapres @gibran_tweet . Tangkap orang ini pak @DivHumas_Polri,negative
@HappyIsNothing_ @gongxifdl @IndraDilianto Kayaknya ada aturan baru yang Dwi fungsi TNI/Polri,neutral
Kepala Divisi Humas Polri Irjen Pol. Dr. Sandi Nugroho S.I.K. S.H. M.Hum. mengucapkan Selamat Hari Kesatuan Gerak Bhayangkari Ke-72. Bhayangkari Mendukung Polri Presisi Membangun Negeri Menuju Indonesia Emas https://t.co/qO1nfsDrF1,positive
Kepala Divisi Humas Polri Irjen Pol. Dr. Sandi Nugroho S.I.K. S.H. M.Hum. mengucapkan selamat atas pelantikan sekaligus selamat bertugas kepada Presiden dan Wakil Presiden Republik Indonesia periode 2024-2029. @prabowo @ShandiNugroho95 @gibran_tweet @ListyoSigitP https://t.co/dns4xI9uMo,positive
@HappyIsNothing_ @gongxifdl @IndraDilianto Baca aturan yg baru itu aturan lama. Skrng tni polri bisa mengisi jabatan sipil tanpa harus mengundurkan diri,negative
Ps Kanit Binmas Polsek Senori Polres Tuban Polda Jatim Menghadiri Kegiatan Pembukaan Kemah Santri MIHM Di Lapangan Desa Medalem @DivHumas_Polri @1polrestuban @PolsekSenori @bidhumas_jatim #polisi #police #polisiviral #polisijatim #polri #polripresisi #polisiindonesia https://t.co/wCz0jAx1DN,neutral
Live report giat Patroli Subuh Piket 10.50 Sat Lantas Prabumulih di Jl. Jend. Sudirman Kota Prabumulih. Senin 21 Oktober 2024. @NTMCLantasPolri @SosmedNtmc @PolisiSumsel @ResPbm @sumsel_polda @Spripim_Polri #kapoldasumsel #kapolresprabumulih https://t.co/fCtKhWrRdB,neutral
Giat Patroli Subuh Piket 10.50 Sat Lantas Prabumulih di Jl. Jend. Sudirman Kota Prabumulih. Senin 21 Oktober 2024. @NTMCLantasPolri @SosmedNtmc @PolisiSumsel @ResPbm @sumsel_polda @Spripim_Polri #kapoldasumsel #kapolresprabumulih https://t.co/DeUzZlK8wr,neutral
37 Hari menuju pemungutan suara Pilkada Serentak 2024 #ompkuri2024 #pilkada2024 #pilkadadamai #polrihumanis #polripresisi @humas_poldaPB @DivHumas_Polri https://t.co/RNwExKQZAU,positive
Pak @prabowo Tertibkan pemakaian TOA khususnya di Desa Cimanggis RW05 Bojonggede. Jam 03.20 sudah dipakai utk membangunkan orang. Cc: @nu_online @Banser_CyberNU @DivHumas_Polri @LAPOR1708 @ListyoSigitP @YaqutCQoumas,neutral
@PelatihT1dur @prabowo @DivHumas_Polri @CCICPolri Masuk kepenghinaan?,neutral
@TaufiqSobari @prabowo @Puspen_TNI @DivHumas_Polri selamat kan alam Indonesia @KemenLHK,positive
@CallSayi Akwokaowkaow mampus kau. Karma krna mau ngebunuh bayi ya gitu. @DivHumas_Polri pak tolong usut ini percobaan pembunuhan bayi,negative
@DivHumas_Polri @BNPTRI Setuju https://t.co/d3dmMiVkBr,negative
@NataliusPigai2 Menyala . Putera Papua Semoga membawa kebaikan bagi Indonesia dan Papua jangan ada lagi organisasi2 liar yang membahayakan para Masyarakat TNI &amp; POLRI disana,positive
Bhabinkamtibmas Desa Rancapanggung melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/j1PE84arby,neutral
Bhabinkamtibmas Desa Cililin melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/KsBAwqyVBC,neutral
Bhabinkamtibmas Desa Cipatik melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/hh2aE00jDW,neutral
Bhabinkamtibmas Desa Cipatik melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/QnYLsb5CpT,neutral
Bhabinkamtibmas Desa Cililin melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/VzTPyRQdLO,neutral
Bhabinkamtibmas Desa Citapen melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/9s8hitowH0,neutral
Bhabinkamtibmas Desa Batulayang melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/Ezm06kpReG,neutral
Bhabinkamtibmas Desa Bongas melaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/fMttDhe5fs,neutral
Bhabinkamtibmas Desa Batulayang gmelaksanakan giat sambang ke masyarakat. #polrescimahi #polrescimahireborn #trisuhartanto #Polripresisi #Polri #Poldajabar #jawara #kapolri #Assdm https://t.co/Z9KiTdCqA8,neutral
@islah_bahrawi Polri presisi buktikan komitmen untuk rakyat! #PolriPresisi,positive
Kami Rakyat Indonesia dengan ini menyatakan Muak dan Bosan dengan Demo dan unjuk rasa serta cacian yang di lakukan oleh pembenci pemerintah RI yang Syah.Kami butuh hidup Aman dan nyaman Tolong kepada Pemerintah TNI dan Polri agar mereka di tumpas habis sampai ke akar-akarnya.,positive
BG nih karirnya kok ga kepentok pentok ya padahal dulu bikin satu negara riweuh. Perdana nih dari polri jd menkopolhukam yg biasanya didominasi TNI. Menyalaaa ibu banteng ,negative
@AritRompal @joandreko @gongxifdl @IndraDilianto 1. Tidak ada UU TNI &amp; POLRI BARU 2. SETKAB bukan SETNEG 2 lembaga yang berbeda.,neutral
payah @DivHumas_Polri,negative
Oiya pak tolong baret kami diganti sama yg dulu aja bukan anggota tni polri tpi pake baret agak risih mana komuk ku tuh tembem pake baret apa ndak makin mbulet aku ,neutral
@CCICPolri @GessyHGanie @Boediantar4 @DivHumas_Polri @judionline1001 @ditkrimsusPMJ @facebook_ID @kemkominfo @jppikominfo @mabespolrinews @mabespolri_ @RaffiAhmadLagi lapor pak ini selebgram meresahkan banget promosiin judi online secara terang an bahkan setiap hari live judol di ig nya https://t.co/iHmkoEGnId,neutral
@kompascom MENTERI GAK ASASI MANUSIA BISA APA???!!. APA GAK SALAH @prabowo ??. TITIP KEINGINAN RAKYAT PAK @prabowo... UU HUKUM MATI KORUPTOR DAN BUBARKAN INSTITUSI POLRI SERTA AUDIT KAPOLRI ERA JOKOWI YG NOTABENE JENDERAL GAK BISA KERJA!!!. @prabowo @gibran_tweet @mohmahfudmd,negative
@denismalhotra @DivHumas_Polri tangkep orang ini pak Kapolri,negative
@thejurgenholic @polri pak ini promosi slot,neutral
@rejeki200920 @DivHumas_Polri usut tuntas mohon pak sudah ada laporan tapi tidak ada tindakan masa harus viral dulu ini,neutral
@MafiaWasit @DivHumas_Polri wong edan kowe ki mbah suwi suwi raono sing peduli wkwk,positive
@denismalhotra Semoga @ListyoSigitP selaku kapolri @DivHumas_Polri bisa memantau ni pvokator,negative
